"업체명",사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자
"㈜더세이프렌터카",주사업장,제주특별자치도 제주시 용문로 88,제주특별자치도 제주시 용담이동 2739,33.50344275,126.5051858,제주특별자치도 제주시 용문로 88,제주특별자치도 제주시 용담이동 2739,,159,159,0,0,0,,,,,,,,07:45,20:00,,,,,,,,064-743-1515,2023-06-19
"㈜아리랑",주사업장,제주특별자치도 제주시 용마서길 34,제주특별자치도 제주시 용담삼동 970-3,33.51495663,126.5020669,,제주특별자치도 제주시 용담삼동 969-3,,262,244,18,56,0,,,,,,,,07:45,20:00,,,,,,,,064-749-2139,2023-06-19
"㈜제주아산렌트카",주사업장,제주특별자치도 제주시 연미길 44,제주특별자치도 제주시 오라삼동 2853-1,33.48978769,126.5057948,,제주특별자치도 제주시 오라삼동 2853-1,,173,171,2,6,0,,,,,,,,07:45,20:00,,,,,,,,064-743-9991,2023-06-19
"한국렌트카㈜",주사업장,제주특별자치도 제주시 연미길 53,제주특별자치도 제주시 오라이동 2826-1,33.4884685,126.5055299,제주특별자치도 제주시 연미길 53,제주특별자치도 제주시 오라이동 2823,,238,238,0,11,0,,,,,,,,07:45,20:00,,,,,,,,064-748-5005,2023-06-19
"㈜탐라렌트카",주사업장,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 용담이동 1588-2,33.50482039,126.4967932,,제주특별자치도 제주시 용담이동 593-6,,498,465,33,109,0,,,,,,,,07:45,20:00,,,,,,,,064-742-3300,2023-06-19
"㈜써니빌렌트카",주사업장,제주특별자치도 제주시 오광로 156,제주특별자치도 제주시 노형동 3692,33.48257951,126.4626128,,제주특별자치도 제주시 노형동 3692,,121,114,7,7,0,,,,,,,,07:45,20:00,,,,,,,,064-748-1600,2023-06-19
"㈜용두암렌트카",주사업장,제주특별자치도 제주시 용해로 74,제주특별자치도 제주시 용담이동 881-12,33.51067003,126.5030807,,제주특별자치도 제주시 용담이동 905-5,,241,224,17,26,0,,,,,,,,07:45,20:00,,,,,,,,064-711-0388,2023-06-19
"㈜장수렌트카",주사업장,제주특별자치도 제주시 월광로 154,제주특별자치도 제주시 노형동 1156-4,33.49187675,126.474137,,제주특별자치도 제주시 노형동 1235-1,,100,93,7,0,0,,,,,,,,07:45,20:00,,,,,,,,064-746-8400,2023-06-19
"㈜가자제주렌트카",주사업장,제주특별자치도 제주시 월성로4길 76-2,제주특별자치도 제주시 용담이동 1721-2,33.49853357,126.4976974,제주특별자치도 제주시 월성로4길 76-2,제주특별자치도 제주시 용담이동 1721-2,,138,132,6,1,0,,,,,,,,07:45,20:00,,,,,,,,064-744-2002,2023-06-19
"오름렌트카㈜",주사업장,제주특별자치도 제주시 연미길 12,제주특별자치도 제주시 오라삼동 2104-3,33.49198895,126.5074991,,제주특별자치도 제주시 오라삼동 2104-1,,225,221,4,0,0,,,,,,,,07:45,20:00,,,,,,,,064-712-8570,2023-06-19
"제주렌트카㈜",주사업장,제주특별자치도 제주시 용문로 8,제주특별자치도 제주시 용담이동 1531-1,33.50499435,126.4971834,,제주특별자치도 제주시 용담이동 1531-1,,1162,1138,24,40,0,,,,,,,,07:45,20:00,,,,,,,,064-735-3412,2023-06-19
"㈜제주오케이렌터카",주사업장,제주특별자치도 제주시 용문로 64,제주특별자치도 제주시 용담이동 737-3,33.50365166,126.5030255,,제주특별자치도 제주시 용담삼동 958,,820,789,31,0,0,,,,,,,,07:45,20:00,,,,,,,,064-743-4000,2023-06-19
